objectid,title,creator,date,description,subject,location,latitude,longitude,source,type,format,language,rights,rightsstatement,display_template,identifier,object_location,image_small,image_thumb,image_alt_text,object_transcript
herbarium_001,Black Maple,Mary Ronsheim,1950-10-06,"Family: Acersceae

Species: Acer nigrum Mx.

These were found northwest of the gymnasium and northeast of Galpin, on campus.",Leaves--Collection and preservation; Tree species; Trees; Dendrology; Biological specimens--Collection and preservation; Maple,"Wooster, OH, USA",40.81052026,-81.93053702,"Herbarium Collection, The College of Wooster Special Collections",Image;StillImage,image/jpeg,eng,In Copyright,https://rightsstatements.org/page/InC/1.0/?language=en,image,cow_herbarium_001,/objects/cow_herbarium_001.jpg,/objects/small/cow_herbarium_001_sm.jpg,/objects/thumbs/cow_herbarium_001_th.jpg,,
herbarium_002,Boxelder,Mary Ronsheim,1950-10-18,"Family: Aceraceae

Species: Acer negundo L.

These were found on 250 and College Avenue, Wooster.",Leaves--Collection and preservation; Tree species; Trees; Dendrology; Biological specimens--Collection and preservation; Boxelder,"Wooster, OH, USA",40.81052026,-81.93053702,"Herbarium Collection, The College of Wooster Special Collections",Image;StillImage,image/jpeg,eng,In Copyright,https://rightsstatements.org/page/InC/1.0/?language=en,image,cow_herbarium_002,/objects/cow_herbarium_002.jpg,/objects/small/cow_herbarium_002_sm.jpg,/objects/thumbs/cow_herbarium_002_th.jpg,,
herbarium_003,Black or River Birch,Mary Ronsheim,1950-10-11,"Family: Betulaceae

Species: Betula nigra L.

These were found in the arboretum at the Wooster Experimental Station. The Wooster Experimental Station is now the Ohio Agricultural Research and Development Center (OARDC). The OARDC conducts research on foods, agriculture, family and the environment.",Leaves--Collection and preservation; Tree species; Trees; Dendrology; Biological specimens--Collection and preservation; River birch,"Wooster, OH, USA",40.78232402,-81.93039671,"Herbarium Collection, The College of Wooster Special Collections",Image;StillImage,image/jpeg,eng,In Copyright,https://rightsstatements.org/page/InC/1.0/?language=en,image,cow_herbarium_003,/objects/cow_herbarium_003.jpg,/objects/small/cow_herbarium_003_sm.jpg,/objects/thumbs/cow_herbarium_003_th.jpg,,
herbarium_004,Blue-beech,Mary Ronsheim,1950-09-29,"Family: Betulaceae

Species: Carpinus caroliniana Walt.

These were found at Miller's Pond, beside the first pond.",Leaves--Collection and preservation; Tree species; Trees; Dendrology; Biological specimens--Collection and preservation; Betulaceae,"Wooster, OH, USA",40.81052026,-81.93053702,"Herbarium Collection, The College of Wooster Special Collections",Image;StillImage,image/jpeg,eng,In Copyright,https://rightsstatements.org/page/InC/1.0/?language=en,image,cow_herbarium_004,/objects/cow_herbarium_004.jpg,/objects/small/cow_herbarium_004_sm.jpg,/objects/thumbs/cow_herbarium_004_th.jpg,,
herbarium_005,Common Catalpa,Mary Ronsheim,1950-09-27,"Family: Bignoniaceae

Species: Catalpa catalpa (L.) Karat.

These were found to the south of Holden, across from University Street.",Leaves--Collection and preservation; Tree species; Trees; Dendrology; Biological specimens--Collection and preservation; Bignoniaceae; Catalpa,"Wooster, OH, USA",40.81052026,-81.93053702,"Herbarium Collection, The College of Wooster Special Collections",Image;StillImage,image/jpeg,eng,In Copyright,https://rightsstatements.org/page/InC/1.0/?language=en,image,cow_herbarium_005,/objects/cow_herbarium_005.jpg,/objects/small/cow_herbarium_005_sm.jpg,/objects/thumbs/cow_herbarium_005_th.jpg,,
herbarium_006,American Yellow Wood,Mary Ronsheim,1950-10-04,"Family: Fabaceae

Species: Cladrastis lutea (Mx.f.) Koch.

These were found to the northwest of Wooster Experimental Station's Main Building. The Wooster Experimental Station is now the Ohio Agricultural Research and Development Center (OARDC). The OARDC conducts research on foods, agriculture, family and the environment.",Leaves--Collection and preservation; Tree species; Trees; Dendrology; Biological specimens--Collection and preservation,"Wooster, OH, USA",40.78232402,-81.93039671,"Herbarium Collection, The College of Wooster Special Collections",Image;StillImage,image/jpeg,eng,In Copyright,https://rightsstatements.org/page/InC/1.0/?language=en,image,cow_herbarium_006,/objects/cow_herbarium_006.jpg,/objects/small/cow_herbarium_006_sm.jpg,/objects/thumbs/cow_herbarium_006_th.jpg,,
herbarium_007,Coffee-bean,Mary Ronsheim,1950-09-27,"Family: Fabaceae

Species: Gymnocladus dioica (L.) Koch.

These were found to the southwest of Lowry and to the east of Severence Hall.",Leaves--Collection and preservation; Tree species; Trees; Dendrology; Biological specimens--Collection and preservation; Kentucky coffeetree,"Wooster, OH, USA",40.81052026,-81.93053702,"Herbarium Collection, The College of Wooster Special Collections",Image;StillImage,image/jpeg,eng,In Copyright,https://rightsstatements.org/page/InC/1.0/?language=en,image,cow_herbarium_007,/objects/cow_herbarium_007.jpg,/objects/small/cow_herbarium_007_sm.jpg,/objects/thumbs/cow_herbarium_007_th.jpg,,
herbarium_008,Common Locust,Mary Ronsheim,1950-09-29,"Family: Fabaceae

Species: Robinia pseudo-acacia L.

These were found at Miller's Pond, specifically beside the first pond.",Leaves--Collection and preservation; Tree species; Trees; Dendrology; Biological specimens--Collection and preservation; Locust trees; Black locust,"Wooster, OH, USA",40.81052026,-81.93053702,"Herbarium Collection, The College of Wooster Special Collections",Image;StillImage,image/jpeg,eng,In Copyright,https://rightsstatements.org/page/InC/1.0/?language=en,image,cow_herbarium_008,/objects/cow_herbarium_008.jpg,/objects/small/cow_herbarium_008_sm.jpg,/objects/thumbs/cow_herbarium_008_th.jpg,,
herbarium_009,Chestnut,Mary Ronsheim,1950-09-29,"Family: Fagaceae

Species: Castanea dentata (Marsh.) Borkh.

These were found at Miller's Pond, specifically, beside the first pond.",Leaves--Collection and preservation; Tree species; Trees; Dendrology; Biological specimens--Collection and preservation; American chestnut,"Wooster, OH, USA",40.81052026,-81.93053702,"Herbarium Collection, The College of Wooster Special Collections",Image;StillImage,image/jpeg,eng,In Copyright,https://rightsstatements.org/page/InC/1.0/?language=en,image,cow_herbarium_009,/objects/cow_herbarium_009.jpg,/objects/small/cow_herbarium_009_sm.jpg,/objects/thumbs/cow_herbarium_009_th.jpg,,
herbarium_010,American Beech,Mary Ronsheim,1950-09-29,"Family: Fagaceae

Species: Fagus grandifolia Ehrh.

These were found at Miller's Pond, specifically towards the upper end of the second pond.",Leaves--Collection and preservation; Tree species; Trees; Dendrology; Biological specimens--Collection and preservation; American beech,"Wooster, OH, USA",40.81052026,-81.93053702,"Herbarium Collection, The College of Wooster Special Collections",Image;StillImage,image/jpeg,eng,In Copyright,https://rightsstatements.org/page/InC/1.0/?language=en,image,cow_herbarium_010,/objects/cow_herbarium_010.jpg,/objects/small/cow_herbarium_010_sm.jpg,/objects/thumbs/cow_herbarium_010_th.jpg,,
